word,translation,part_of_speech,pronunciation,ex_1_jp,ex_1_en,ex_2_jp,ex_2_en,ex_3_jp,ex_3_en,meaning_story,reading_story,pitch_accent,tag
三つ,three things,NUMERAL,みっつ,三つのせんたくしがおんせいできこえます。,You will hear three choices.,ここにボールを三つ入れてください。,Please put three balls in here.,三つもかにかまれた。,I got three mosquito bites.,"This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for three plus つ. So, this one is three things.","Since all of the ""number of things"" words all follow the same pattern (number plus つ), you really just have to remember the part before the つ (and then remember that the つ is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). What thing do you have three of? The three things that you have are actually three versions of yourself. ""Who is the real one?"" you ask yourself. ""It's me!"" ""Wait, no, it's me!"" Just remember that there are three of you, and they're all saying ""me me me me me"" to try and prove that they're the real you.",ミッツꜜ *** ミッツ,level1 vocab
上る,to climb,INTRANSITIVE VERB AND GODAN VERB,のぼる,わたしがやねに上りましょう。,I can go up to the roof.,十かいまでかいだんを上った。,I climbed up stairs to the 10th floor.,サケが川を上っているのをみた。,I saw a salmon swimming upstream.,"This vocab word is an exception in almost every way. It has a similar meaning to the meaning of the kanji, and you know it's a verb because it ends with an う sound (る, in this case). But, the meaning is to climb. Comparing it to the other 上 verb words, it has the least okurigana (versus 上げる and 上がる). You could remember this and know that the thing you don't want to do the most is ""to climb,"" so that's why it has the least okurigana.","The reading for this word is an exception from all the rules of the 上 vocabulary. It consists of a kanji with hiragana attached, so it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: You want to climb the mountain, but a gruff old man grabs your shoulder and says ""No boy, you ain't climbing that thing, not today."" If you're not a boy, think about how weird it is that he called you a boy. If you are a grown man, think how you wish he called you ""dude"" or something, not ""boy."" If you're a boy, well... think about how appropriate it is that he said ""no boy.""",ノボル,level1 vocab
入る,to enter,INTRANSITIVE VERB AND GODAN VERB,はいる,プールに入るまえに、じゅんびうんどうをしてください。,Please stretch before getting in the pool.,ちゃんと入り口から入ってください。,Please enter from the entrance.,へやに入って、いっしょにまゆげをかこうよ！,Let’s go in the room and draw our eyebrows on!,"When a kanji ends with an ""う"" sound (like る, for this one), it's usually going to be a verb. When the vocab is a kanji + okurigana ending in this ""う"" sound, it's often going to be the verb form of that kanji. So in this case, the kanji 入 is enter. The vocab 入る is to enter. Just the verb version of the kanji.","When a vocab is a single kanji with okurigana, chances are it's going to be the kun'yomi reading, which you don't usually learn in the kanji (you usually learn the on'yomi reading). So, let's learn the kun'yomi reading for this word using its meaning. When you enter the room, what do you do? You say ""Hi"" (はい) to everyone to the point of absurdity. ""Hi there. Oh hi Frank. Oh hi there Susan. Oh hi there lamp.""",イル *** ハꜜイル,level1 vocab
下がる,"to get lower, to fall",INTRANSITIVE VERB AND GODAN VERB,さがる,せかいじゅうのかぶかが下がった。,Stock prices all over the world fell.,ねつが三十七どに下がりました。,My temperature dropped to 37℃.,ズボンが下がるようにベルトをゆるめなさい。,Unfasten your belt so that your pants will hang down.,"This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. This is an intransitive verb. That means it does not take a direct object. The kanji means below so this means something gets lower, by falling or dropping. For example: Prices get lower or fall. Squirrels come down from trees. See? No direct object here. That's why this verb means to get lower or to fall.","Since this word has okurigana (hiragana attached to the kanji) you know that it's probably going to be the kun'yomi reading. Let's use a mnemonic to remember the reading of the kanji: You know it means to fall so instead of using a saw (さ) to cut down the tree, you decide to let it come to you. It has to come down all by itself. Picture yourself placing a saw at the foot of a tree then sitting back and waiting for it to drop itself at your knees. (This could actually work, don't you judge my methods!)",サカ°ꜜル,level1 vocab
入れる,to insert,TRANSITIVE VERB AND ICHIDAN VERB,いれる,しかくになにを入れますか。,What will you put in the square?,ここにおりがみを十二まい入れてください。,Please insert twelve pieces of origami paper here.,わたしはハンバーガーをひつぎに入れた。,I put a hamburger into the coffin.,"This is similar to the vocab word 入る (to enter), except in this case, instead of entering you're inserting something. So, it's like you're entering something into something else. You can remember that this one is to insert because it's longer than 入る (はいる/to enter). Why? Because it's more difficult to insert something than it is to enter somewhere, which is why you have more help (the extra kana stuck on the end).","When a vocab is a single kanji plus some okurigana (hiragana stuck on the end of kanji) it's almost always going to be the kun'yomi reading. This is one of two kun'yomi readings you'll be learning for the kanji 入. As long as you know that this vocab means to insert, you can use that to remember the reading as well. When you insert your hand into the mysterious hole, it feels cold and sticky inside. You scream: ""い!"" as an eagle flies out.",イレル,level1 vocab
下げる,to lower,TRANSITIVE VERB AND ICHIDAN VERB,さげる,けつあつを下げるほうほうをおしえてください。,Please tell me how to lower my blood pressure.,あのみせは、入り口にふうりんを一つ下げています。,That shop has one wind chime hanging in its entrance.,きおんを下げるために、あまごいダンスをおどってみた。,I tried to perform a rain dance to lower the temperature.,"This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means below so the verb version of that is when you put something below you. It's to lower something. This is a transitive verb. That means it takes a direct object. You lower something. Like your blood pressure!","Since this word has okurigana (hiragana attached to the kanji) you know that it's probably going to be the kun'yomi reading, which you didn't learn with the kanji. Here's a mnemonic to help you: You want to lower a tree so you need a saw (さ). Lower the tree to the ground gently while you slowly saw it down!",サケ°ꜜル,level1 vocab
上げる,to raise,TRANSITIVE VERB AND ICHIDAN VERB,あげる,このはこをれいぞうこの上に上げてください。,Please put this box on top of the refrigerator for me.,三センチ上げてください。,Please raise it three centimeters.,りょうてを上に上げて、大きくおならをした。,I raised my hands and let out a huge fart.,"This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means above so the verb version of that is when you put something above you. It's to raise something. This is a transitive verb. That means it takes a direct object. You raise something. Like your hands!","Since this word has okurigana (hiragana attached to the kanji) you know that it's probably going to use the kun'yomi reading, which you didn't learn with the kanji. Here's a mnemonic to help you: You want to raise an aardvark (あ) above your head. Why? Because even though aardvarks have long tongues, it can't reach the ants in the trees. But when you raise the aardvark it can get at those yummy ants!",アケ°ル,level1 vocab
上がる,to rise,INTRANSITIVE VERB AND GODAN VERB,あがる,どんどんねつが上がっています。,My fever is rising steadily.,三かいまでエレベーターで上がりましょう。,Let's go up to the 3rd floor using the elevator.,けむりが上がってる。,Smoke is rising.,"This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. This is an intransitive verb. That means it does not take a direct object. The kanji means above so this means something rises. For example: A fever rises. The sun rises. See? No direct object here. That's why this verb means to rise or to go up.","Since this word has okurigana (hiragana attached to the kanji) you can guess that it uses the kun'yomi reading, which also happens to be a reading you didn't learn when you learned the kanji. Let's use a mnemonic for the kun'yomi reading now, though. You have to remember at least the あ part to read it. You know that this word means to rise. Imagine something just rising on its own, like a floating tree or something. What would you say? Probably a ""surprised"" sound. Maybe you'd scream ""あ!"" when you saw this floating tree.",アカ°ル,level1 vocab
二,two,NUMERAL,に,二十一ページの二ばんはクラスでします。,We will work on question two on page twenty-one in class.,わたしのこどもは二さいです。,My child is 2 years old.,わたしのおじは、ねこを二ひきかっています。,My uncle has two cats.,When a vocab word is a single kanji without okurigana (hiragana attached to the kanji) it usually has the same meaning as the kanji it's spawned from. If you know the kanji meaning you'll also know the vocab meaning. It's two!,"When a vocab word is a single kanji with no okurigana, it usually uses the kun'yomi reading. Numbers are an exception to this. Numbers use the on'yomi reading, which you've already learned by learning the kanji's reading! How nice!",ニꜜ,level1 vocab
二人,"two people, pair",NOUN,ふたり,DVDを、あねと二人でみています。,I am watching a DVD with my older sister.,あの二人はいつも二人でくみたがる。,Those two want to be a couple all the time.,かのじょは二人ごろしでたいほされた。,She was arrested for double murder.,"When you have two and person and then put them together, what do you get? You get a pair or two people.","The reading for this word is quite strange. If you know 二つ's reading, you can use that to remember the 二 part (ふた). But, the り that is the 人 is a total exception, something you won't see too often (though you may have seen it in 一人). If you can use the reading of 一人 (aka if you've learned it already) then definitely use that. If not, do your best to remember the reading on your own. It's a strange one that doesn't connect to much else.",フタリꜜ *** フタリ,level1 vocab
