kanji,meaning,onyomi,kunyomi,radicals,radical_names,meaning_story,meaning_hint,reading_story,reading_hint,tags
人,person,"にん, じん","ひと, と",人,Person,"Do you remember the radical version of this kanji, where you knocked a zombie down breaking it in half, only leaving its legs standing? Then it said 'Hey, I'm a Person too?' Well, that radical is a kanji too, and that kanji is Person.","Know the radicals, and you shall know the kanji.","Only one Person at Nintendo (にん) complained about the new Jeans (じん) policy, and that person was you.","Imagine how angry you were about the policy. You'll have to come up with something to be angry about yourself (pick something that would actually make you angry, like maybe you're only allowed to wear cut off short-shorts jeans at Nintendo now), but if you pick something good, you'll definitely remember the two readings for this. Just remember you're working at Nintendo, and the policy has to be something about jeans. Then, imagine yourself as the only person complaining and everyone else in their dumb jeans (or lack-thereof) shaking their head at you because you're being a fool.",kanji level1
力,power,"りょく, りき",ちから,力,Power,The radical and the meaning of this kanji are the same. Both are Power.,"If you know the radicals, you should be feeling fine... No, you should feel powerful!","Who has the most Power of anyone? It's the Power Rangers. Who are they battling? Ricky the Rock (りき, りょく) Monster.","Know anyone named Ricky (りき), even a famous person like Ricky Ricardo or Ricky Gervais? Put his face on the monster the Power Rangers are fighting. Also, imagine him throwing rocks (りょく) and hitting people with them. You should imagine it as more gruesome than Power Rangers was on the show. This is real, yo (and gruesome will help you to remember).",kanji level1
川,river,かわ　(せん),かわ,川,River,The river radical and the river kanji are the same as each other!,"So, if you know the radical you know the kanji as well.","So you're in a river. As you're floating down, enjoying yourself, you bump into something. It says 'moo' to you. You look around. There are hundreds of cows (かわ) surrounding you.",Touch them as you float by. Smell them. Is the river filled with cow poop? Probably. Use that to help you to remember that you run into cows when you're in the river.,kanji level1
七,seven,しち,なな,七,Seven,"Lucky for you (as is the case with many of the lower-stroke kanji), this kanji is the same as the radical you've already learned. The radical that makes up this kanji is seven and the kanji (which is exactly the same) is also seven. So, if you know the radical, you know the meaning of the kanji as well.",Make sure you know your radicals well and you'll be A-Okay on this one!,"You know this kanji means Seven, so let's use that to remember the reading too. Seven is a lucky number, usually, but this time it wasn't so good. Seven percent is all she got on her test after she cheated (しち) on it.","How unbelievable is it that someone got seven percent on a test, especially if you try to cheat? Imagine the girl you loathe the most from school, and imagine her cheating on the test (it's important it's a girl, because of the 'she' part in she cheated (しち). Then, imagine your happiness when she's super upset about getting seven percent on it. Serves her right, obviously.",kanji level1
十,ten,じゅう,とお,十,Cross,"When you think of crosses, you think of certain religions (Christianity). Instead of thinking about Christianity, though, let's think about where the Christians came from, namely the Jewish faith. How many commandments did they have? They had ten of them.","This kanji is made up entirely of the cross radical, which might be a little confusing since you have to remember two different meanings. If you make a progression of the story in your mind, though, it should be a lot better. So, as long as you think 'Okay, I have a cross ... what have I associated with this cross? Why, the Ten Commandments.' If you do this, you should be alright and you should be able to remember both!","So, now that you have the Ten Commandments in your head, think 'who held up these Ten Commandments?' Why it was Moses, who was a Jew (じゅう).","See how the progression of everything works? If you know the radicals, you can remember the meaning. If you know the meaning, you can remember the reading. It's all about connecting these things to each other in your head, because the more connections you have, the more likely you are to remember! It's just how the brain works.",kanji level1
三,three,さん,み,"一, 二","Ground, Two",This one uses the ground radical (which also happens to be the kanji for 'one') and the radical 'two.' Let's combine those ones together. What do you get? You get three.,"This one should be pretty self explanatory! Even easier, you can look at this kanji and see it has three straight lines. You know what one looks like. You know what two looks like. So... this is three! (Four is not like this, though).","I'm going to count to three, then I'm going to whack you with these three sticks, son (さん).","I think a Southern accent goes well with this meaning mnemonic. You'll want to imagine that you're a boy and your dad has three sticks, ready for some thwacking. Feel a little afraid by this, and sad about three times the pain. The more emotions you can input (like fear) into this mnemonic, the more likely you are to remember it!",kanji level1
二,two,に,ふた,二,Two,"The kanji two and the radical two are the exact same things. Therefore, you know the kanji for two already!","More simply put, you can just know that this kanji is the double of One. It's two lines, that's not all that hard to remember!","Think of all the things you have Two of. What is the most important? Some would say eyes, some would say ears. I would say the knee (に) because if you didn't have them, it'd be really hard to go up stairs.","Imagine yourself without two knees, and see what it would be like. What would give you trouble? What couldn't you do? Just imagining this for a minute or two will help you to remember the reading of this kanji more effectively.",kanji level1
女,woman,じょ,"おんな, め",女,Woman,The radical for woman and the kanji for woman are exactly the same.,"That means if you know your radicals well, you know the meaning of this kanji as well! How swell.","When you imagine this woman, she has a jo (じょ) weapon. She's standing in a battle stance, and yelling ""I'm the mighty jo fighter woman!""","Be sure to think ""Huh, what a weird lady... Wait, she's gonna hit me with that jo of hers, crap!!""",kanji level1
又,again,また　(kun),また,又,Stool,You're sitting on your stool again!!?,"There's someone you know who carries a stool around with her all the time. Why? Because she's super pregnant and can't walk too far. You're walking with her, but she has to stop every few feet and sit on her stool, again and again. Feel irritated about this, because it will help you to remember the meaning of this kanji better. Imagine this scene taking place several times as you're trying to walk to your destination together, but she's too slow and it's super-duper irritating.","So, she's really pregnant, and carrying a stool, sitting on it again and again. Where are you two going? Where would a super preggers person go? Well, she needs to go to the matanity (また) store to get new clothes for her giant baby stomach.","I know 'mata' and 'maternity' are a bit of a stretch, but the goal is to get you to the memory of また in your head, so they don't necessarily need to be exactly the same. If this can get you to the correct memory in your head, then it does the right thing, and that's good. So, make that your goal and you'll probably remember the reading for this kanji!",kanji level2
玉,ball,たま(ぎょく),たま,"丶, 王","Drop, King",The king has something in his hand that he's dropping... but it bounces too! He's bouncing a ball.,"This kanji looks just like a king bouncing a ball, no? If not, imagine the kanji itself bouncing the drop (the ball) over and over again, then laying some hoops like a pro.",Think of someone curled up in a ball. It is someone you know / someone famous named “Tom” (たま).,"So, who's in a ball? Which 'Tom' did you choose?",kanji level2
本,"book, origin, real, main",ほん,もと,本,Real,"The real radical and the book kanji are the same in looks, but different in meaning. Still, what's the most real thing in the world, besides real life? That would be a book. People put their heart and soul into books, making them as real as they can... that is, unless you read Twilight. There's nothing real about glittery vampires. Take note that the second, third, and fourth meanings of this kanji are origin, real, and main. You can figure this out by thinking about how books almost always have their origin in real life. This in fact is the main source of book materials (real life).","Imagine yourself reading various books... and have them have crazy contents. Constantly think... 'Is it real?' And then decide. Focus in on the fact you're reading a book, especially.","Books are one of the best ways to hone (ほん) your intellect, you know?","A bit weak in the memory department, I know, but run it through your mind a few times. Luckily, you’ll see this on’yomi so much it’ll end up being hard not remembering it, good memory technique or not.",kanji level2
子,child,"し, す",こ,子,Child,The child radical and the child kanji are exactly the same.,"So, if you know your radicals, you know your kanji as well! This won't last forever (where radicals are exactly the same as the kanji) so enjoy it while the kanji are still small and simple!","To remember the sounds し and す we'll use these mnemonics: There's a child. He's walking around, having a good time. Then, all of a sudden out of nowhere, Charlie Sheen (し) jumps out and grabs the child, then runs away with him. That child's parents are definitely going to sue (す) Charlie Sheen (し).","You give chase after him - make sure you zero in on the child, thinking about how you need to save said child. The child is what's important here, because that's the kanji you're learning. Oh, and Charlie Sheen as well, since you have to remember the reading, too. Of course, think about the ridiculousness of the situation. First of all, it's Charlie Sheen. Second of all, he's abducting a child. Third, if he gets away, he's totally getting sued. That's crazy... well... maybe not that crazy.",kanji level2
丸,circle,まる (がん),まる,"丶, 九","Drop, Nine",What's something with nine sides? Just add a drop and you'll have something that's almost a circle.,It's not quite a circle though. You just need to add a drop of liquid to the edges to smooth it out to become a full circle.,"Do you know about the adorable cat Maru? If not, you should check it out. May seem like a distraction, but if you come back knowing the reading for this kanji, then it's totally worth while. When you think about a circle, think about Maru all rolled up in a little circle, being super adorable. Don't tell me it doesn't melt your heart just thinking about it.Alternatively, you could also look at this kanji and think of Maru inside of a box, with her little tail sticking out of it. Whatever works best for you, just get yourself to 'Maru.'","Obviously if you 'don't know this reading' well enough, you should watch some more Maru videos. I'll understand... just make sure you come back someday, okay?",kanji level2
正,correct,"せい, しょう","ただ, まさ","一, 止","Ground, Stop","What ground to a stop, so to speak? You're working on grading tests. But, you run into a question that is wrong, which made you stop. Why? Because you have to correct it.","Go ahead and correct several answers. Feel like you suddenly have to stop whenever you have to correct something. Ugh, how time consuming.","To remember the reading せい we use 'Hard Gay,' because he likes to say 'SEI SEI SEI!' Of course, if you don't know who this Japanese comedian is, you should check him out (literally or figuratively, whatever you want to do is your own business). Here he is helping out a ramen shop. As you're correcting these test answers, someone grabs your pencil and throws your desk to the side. And then they start humping your leg. It's Hard Gay (せい). He tells you that the test you are grading is the shogun's (しょう)! You can't give the shogun a bad grade, he'll have you executed!","Imagine Hard Gay shouting that you can't give the shogun a bad grade. Why is Hard Gay telling you this? You can't seem to figure out why, but with Hard Gay humping your leg it's hard to really concentrate on anything else.",kanji level2
犬,dog,いぬ (けん),いぬ,犬,Dog,The dog radical and dog kanji are exactly the same!,Soon there will be very few kanji/radical-same combos ... so enjoy it while you can.,"You see an emu running towards you from off in the distance (strange to see an emu in these parts...). As it gets closer, you realize that it's not an emu at all, it's something that sounds the same, or similar... an inu!","There's a good chance you know the word for dog in Japanese already too. If so, you're ahead of the game. If not, do your best to learn the reading before moving on.",kanji level2
夕,evening,ゆう　(せき),ゆう,夕,Evening,The evening radical and the evening kanji are exactly the same.,"So, if you know the radical, you know the meaning of this kanji as well. Make sure you know your radicals - they're the building block of everything you learn here!",The evening is when it's time for YOU (ゆう).,"Think about the day, and how it's all about doing things for other people... school, work, etc. But, in the evening, you do what you want, nothing else. Think about what those things might be. Say out loud 'This is for YOU.'",kanji level2
出,exit,しゅつ,"で, だ",山,Mountain,"There are two mountains in front of you... and probably a bunch more around you too. You are in a pass, and don't know how to get out. You are frantically looking for the exit before you freeze to death. The most important thing is to find the exit from this mountain range - your life depends on it.","In your imagination, really feel like your life depends on getting out. The important part is the feeling of 'needing to get out of the mountain pass.' If you have this feeling, you'll be more likely to remember that this kanji means exit, because that's what you want to do when you see this kanji.","As you're trying to exit this mountain range, you suddenly realize that someone is actually hunting you. What? Make sure to feel that sudden realization. It's crazy. Then, you find the exit and run towards it. Sadly, the hunter is waiting there, and he shoots you (しゅつ) through the leg, knocking you down.","Focus on the surprise of realizing you're being hunted while trying to find the exit to the mountain range, then focus on the next part, where you get shot. View it in your head as the hunter shooting you. Powww!",kanji level2
目,eye,め (もく),め,目,Eye,"The eye radical and eye kanji are the same as each other, so now you know them both.","Well... you'll know them both as long as you studied your radicals, young grasshopper. If you didn't, then you're just a young grasshopper who needs to study his/her radicals.","Your eyes are important to you, right? Sadly, one of your eyes is missing right now, because a sheep grabbed it and pulled it out, and is now running away from you, yelling his sheep call.... 'Mehhhhhh (め)!'","Of course, feel the pain of your eye being gone... and struggle to get it back. You eventually give up because the sheep is too fast, but then you come up with an idea. What if I call out back to the sheep in its own language? Go ahead and cover one eye and start making 'MEHHH' noises to see if you can get the sheep to come back to you and give you your eye. It's up to you whether it works or not, but be sure to feel frustrated by its reaction, or happy by it. Either one works.",kanji level2
了,finish,りょう,-,亅,Barb,"Think about it this way. There is a famous fishing lure inventor, working on his best work ever. He’s old, and he’s been trying to make the best fishing lure for the last 50 years, and knows this will be his last invention. Then he figures it out. He takes one barb, and connects the end of it to the top of another barb. When he does this, he knows his work is finally finished.","Make sure you look at this amazing fishing lure too - hold it in your hand, see the two barbs fused together. Think about how strange this lure is. Is this really the best in the world? Will this really finish all other fishing lures?",How does the fish lure maker test his newly finished lure out? The one he just finished? He gets in a row (りょう) boat and rows out into the sea.,"Make him think that he can’t just use his new lure on the side of the lake / ocean / whatever. He has to get out there, but unfortunately all he has is a crappy row boat. Imagine the row boat being terrible, leaky, and dangerous, which is why you’re surprised when he goes for it. That’s a terrible row boat to use! If you do this, you'll focus your mind on the rowboat part of things, which will help you to remember the reading of this kanji.",kanji level2
火,fire,か,"ひ, ほ",火,Fire,The fire and the fire kanji are the same as each other.,If you know the radicals then this one is EZPZ.,"Whenever we need to remember か, we use the word car. For this kanji, when we think fire, we ought to think of something on fire. What is it on fire? It's obviously your very own car (か)! Oh Goddd NOOO!","Oh no... Oh no!! If you don't have a car, imagine what it'd feel like if your car just exploded and burned down. If you do have a car, imagine your own car in this situation. It should be a terrible feeling, if you imagine it well enough. So, when you think fire, remember the fear you had when your car was given to the flames. Now you have to walk everywhere, sad :(",kanji level2
五,five,ご,いつ,五,Five,"The radical and the kanji are the same, so make sure you know the radical to know the meaning of this kanji as well (five).","Know your radicals, friend-o.","What do you have five of? The thing that comes to most people's minds is fingers (or toes). With these five fingers, you can do anything. Most notably, though, you can play the game 'go' (ご)- a game popular strategy board game in Japan.","When you think of your five fingers, imagine yourself playing the game go. If you don't know the game, look it up and watch some videos - you'll be able to imagine yourself playing it enough to remember the reading if you do. Focus on the hands while watching. See what the players do with their five fingers.",kanji level2
四,four,よん　(し),"よん, よ","口, 儿","Mouth, Legs","Imagine contorting yourself in such a way that your legs end up inside your mouth. You have bent your body in all the wrong ways in order to achieve this. In fact, if you look at yourself, you look like a square now... You're just a person with four sides.","If you can get to square, you should be able to get to four as well, since squares always have four sides.","Despite how amazing this feat you just completed is, the audience watching you is really bored. 'Yawn' (よん) they say, politely covering their mouth.","Try to be a little upset about this. You did something crazy, but nobody is reacting. They are bored? What the heck? Zoom your imagination in on their yawns, especially. How can they be that tired by your four-sides trick?",kanji level2
才,genius,さい,-,"十, 丿","Cross, Slide","You have a cross. Why is there a slide / stroke going through the cross? Why, because religion really was a 'stroke of genius.' Oh, and see that little hook at the bottom? That's because once they hook onto you, they never let go. More genius!","When you think about crosses and religion, it's hard to help but think of how it's changed and affected history. Someone was pretty genius at some point.","Who do you know who's a genius? You don't even have to know them personally. Just think of them, and *sigh* (さい) when you do. Ugh, look at that genius over there. *Sigh*","The important part for remembering this kanji's reading is the feeling. You're so exasperated by how genius this person is, and how jealous you are about it. Do the sigh for real, too, if it will help. Just be sure to have that sighing feeling when you think about this person. The more realistic the (imagined) feeling, the more likely you are to remember this kanji's reading, too!",kanji level2
手,hand,て　(しゅ),て,手,Hand,The hand radical and the hand kanji are identical in looks and meaning! That should make things easy!,Make sure you're studying your radicals. It won't be forever that radicals and kanji overlap so nicely like this!,"To remember the reading て we will use the word 'Television.' You have great hands. Go ahead and look at them. OH MY GOD. You have little televisions (て) on your hands. They are playing the dumbest show you can think of, too, both hands at the same time.","You try to shake your hands off, but it's no good. The televisions are stuck, and the volume won't go down. You have no idea how you got these televisions on your hands. All you know is that you want them off right this instant.",kanji level2
天,heaven,てん,あま,天,Heaven,"The radical heaven is the same as the kanji heaven, making this an easy kanji to memorize.","If you know your radicals well (and you should!) you know the meaning of this kanji well, as well!","Heaven... nowadays, people aren't all that good. Things have gotten bad. That's why the acceptance rate to get into heaven is only ten (てん) percent!","Imagine yourself in line to get into heaven. You're super worried, because you're not sure if you'll get in. You heard there was a one in ten chance... those aren't good odds. Feel nervous in your imagination. Feel worried. Feel the pressure as you get closer and closer to the gate... will you make it?? Ten percent!",kanji level2
刀,sword,とう,かたな,刀,Sword,"The radical and the meaning of this kanji are almost the same, but not quite. It's very easy, though - the radical is sword. We're learning Japanese, so can you name a Japanese sword. That's right, the most common is a katana, which happens to be the meaning of this kanji as well.","The progression on this one is important. When you think sword you have to think 'what kinds of swords do Japanese people have?' Then, you'll reach the meaning of this kanji on your own.","So now you have this sweet katana in your hands and you're swinging it around like an idiot. Feel free to make 'whooshing' noises as you swing it around. To become a master katana wielder, you decide to travel to Tokyo (とう). Tokyo has the best katana schools in the world, so it makes sense to travel to Tokyo.","Imagine yourself trying to travel to Tokyo with your katana. Airport security is not happy with you trying to take a katana on the plane, so you get a full cavity search. How awful.",kanji level2
王,king,おう,-,王,King,The king kanji and the king radical are the same!,"Hopefully you're a king of radicals... because if you are, this kanji meaning was super easy for you!",Oh (おう) Great KING… Please don’t kill me… Oh Great KING.,"Unfortunately, there isn’t a really good way to learn this one using mnemonics, just because the “oh” sound is so common. If you can get used to thinking “Oh King” as something natural when it comes to thinking of the word “king” you should be alright. I’m not saying it’ll be totally easy, but try and think “king” then think “oh king” then “king” then “oh king” a few times (or more) and it should create a connection strong enough to help you remember the on’yomi. If that doesn’t work, there’s always common vocab – and luckily there’s no kun’yomi to confuse you.",kanji level2
左,left,ひだり (さ),ひだり,"工, ナ","Construction, Narwhal","The Narwhal construction group wants to build houses for narwhals. Instead of speaking for the narwhals like the right (右) does, they take action and build houses for narwhals that need homes. These people are members of the left, liberal political party. Of course, they're using lots of high taxes to pay for these houses, which the right doesn't like. That's how you know the left is involved in the construction.","Imagine a bunch of hippies building the houses. That's how you'll know they're the liberal group, and on the left.","This is a long reading to learn compared to normal (because this kanji primarily uses kun'yomi for its reading). Imagine all the construction workers with a funny accent. Whenever they walk by, they say ""Hi Da'ri"" (ひだり) which is supposed to be ""Hi There,"" or ""Hi Dearie."" You're not sure which, but he's definitely saying ""Hidari"" at you.","I don't know what country these people are from, but imagine the phrase in a silly way in order to help your self to remember it.",kanji level2
中,"middle, inside",ちゅう,なか,中,Middle,"The radical Middle and the kanji Middle are both the same. So if you know one, you know the other.","Make sure you're studying your radicals, otherwise you might find yourself in the middle of a kanji-learning problem.","To remember the reading for this kanji, we use the word chewbacca to pull up ちゅう in our memory. If you remember back to the radical 中, the middle of your mouth was stabbed with a stick. You look up to see who did it. There stands Chewbacca over you, doing his Chewbacca yell. He has another stick too, and this time he plants it right in the middle of your head.",Imagine the fear and shock you'd feel after finding out it was Chewbacca who stabbed the middle of your mouth (and head). Give him a touch and smell too - it'll help you to remember this reading.,kanji level2
月,moon,"げつ, がつ",つき,月,Moon,The moon kanji is made up of the moon radical.,This should be EZPZ as long as you know the radicals already!,"Since げつ and がつ are quite similar, we'll use one mnemonic to cover both of them. I expect your experience learning Japanese throughout the future will help you to memorize and differentiate between the two. When the moon goes down and goes away, everyone in the world gets (げつ) up, because that means it's going to be daytime soon!","This one might not be as memorable at first, but if you think of the moon, and think about what people do when the moon is up, you'll come to sleeping. Then naturally you can think about what happens when the moon goes down... people gets up!",kanji level2
々,repeater,のま,のま,"丶, 勹","Drop, Enclosure","This is a strange kanji because it doesn't really mean anything at all. In fact, what it does is it repeats the kanji that comes before it. For example: 人々 is actually 人人. This kanji shows up whenever there's a repeating kanji, because it's often easier to write than writing a more complicated kanji twice. That's why this kanji is the repeater. It repeats what comes before it. To remember that this kanji is the repeater, though, think of a drop going into an enclosure. Drip drop drip drop. It does that over and over again even after it fills up. The dropping of the drops is the repeater portion.","Since this kanji doesn't really have a meaning as much as it does a function, try to change the way you think about it when you're memorizing it.","In Japanese, this symbol is often called the のま because it looks like the katakana characters ノ and マ put together. If you know katakana then this will be easy to read. If you don't, think of it this way: Your mom is the repeater. She is trying to force feed you over and over again until you explode (literally). You keep yelling 'No ma!' (のま) but she doesn't stop. She's on a repeating track, never stopping, repeating forever.","If you feel like you're so full you're about to burst, and if you imagine your mom doing this to you (how could you, ma?) you should be able to remember the reading of this kanji. That being said, the reading is mostly only useful in the event that you have to identify a 々 - otherwise, you won't see it much.",kanji level2
田,rice paddy,た (でん),た,田,Rice Paddy,"The rice paddy radical and the rice paddy kanji are the same, making this one super easy to remember, at least meaning-wise.","Just know your radicals, and you will know your kanji as well.","To remember the reading た, we use the word 'taco.' You're in the rice field... but when you lean down to examine the rice more closely, you see that it's not rice that's growing, it's a bunch of little tacos, blossoming out of the ground.",Smell the tacos. Touch the tacos. Taste the tacos. This is definitely a very strange rice field.,kanji level2
右,right,"みぎ　(う, ゆう)",みぎ,"口, ナ","Mouth, Narwhal","The Narwhal mouths. These are a group of people who speak on behalf of the narwhals. Strangely, though, in terms of political party, it's the right that's representing these majestic animals.","The right are protesting gun rights and lower taxes for narwhals. Make sure you think it's strange that the right would even ask for these things for narwhals, let alone try to represent the narwhals... something's fishy here.","This far-right narwhal group is getting militaristic, too. They're buying MIG (みぎ) fighter jets from the Russians to protect their Narwhal Friends.","See lines and lines of MIGS on the ice where the Narwhal's live. I hope you have a little fear of this. They are scary, these jets.",kanji level2
六,six,ろく,む,"ハ, 亠","Fins, Lid","Just imagine a beast with a lid for a head and fins for feet, running around looking as insane as possible (really imagine it!). When it runs up to you, it shows you the top of its lid-head. On it is written the numbers 666. Why? Because it's a spawn of the devil, and the number six is the devil's number.","Imagine this beast doing various crazy things, the crazier the better (to help you remember). Make sure all these things are associated with the devil and the devil's number (six), so you can remember the meaning of this kanji.","Whenever we need to remember the reading ろく we just use the word rock. So, think about the devil and the devil's number. What is often associated with those things? Why, rock (ろく) and roll is. Imagine the lid-head fin-legged beast suddenly blasting out rock music in the middle of his destructive mayhem.","Sing along with the monster, if it helps you to remember the reading of this kanji.",kanji level2
小,small,しょう,"ちい, こ, お",小,Small,The small radical and the small kanji are exactly the same.,"So, know the radicals and you'll know the kanji. Nice how that works out.","This small kanji would be a terrible gift to give to the shogun. This is the shogun's least favorite kanji since it's so small. The shogun's wife really likes it though, so the shogun gives it to her.","Imagine something really really small... so small you can barely even see it. That thing is this kanji. As such, the shogun really dislikes it since it doesn't look powerful. The shogun's wife thinks it's super cute though. Imagine the shogun's wife giggling and squealing over how cute it is.",kanji level2
